run,total_return,sharpe,max_drawdown,num_trades,win_rate,avg_trade_return,entries_suppressed,symbol
ungated,4.102663795828642,0.8554269262149221,-0.3335796227882558,3,1.0,0.971724629020064,0,AAPL
gated,4.102663795828642,0.8554269262149221,-0.3335796227882558,3,1.0,0.971724629020064,0,AAPL
ungated,2.154124945531962,0.6344011934982026,-0.30876642154837664,2,1.0,0.7805965268238646,0,AMZN
gated,2.154124945531962,0.6344011934982026,-0.30876642154837664,2,1.0,0.7805965268238646,0,AMZN
ungated,1.0010221730712274,0.4517600150213557,-0.4892632969937233,3,0.6666666666666666,0.34297400522566085,0,BAC
gated,1.0010221730712274,0.4517600150213557,-0.4892632969937233,3,0.6666666666666666,0.34297400522566085,0,BAC
ungated,0.8594088791896795,0.4713050802512149,-0.2720852791113889,5,0.4,0.1606878871507116,0,CVX
gated,0.8282233858309185,0.46118340576271705,-0.27208527911138836,5,0.4,0.15540849006502763,1,CVX
ungated,3.1491610286996314,0.7634243961870254,-0.3320369459707472,3,1.0,0.6121092037539891,0,GOOGL
gated,3.267088604534308,0.7769782165912901,-0.3130520805572481,3,1.0,0.6258400692538834,8,GOOGL
ungated,0.9295175111740612,0.544243903661926,-0.2873967649151379,3,0.6666666666666666,0.2874713735272391,0,JNJ
gated,0.8852947362593282,0.5296414950838083,-0.3125687150852514,3,1.0,0.2745634873344947,45,JNJ
ungated,1.2073875272533154,0.5070067158958512,-0.45723151957991803,3,0.3333333333333333,0.508613690567301,0,JPM
gated,1.195973767702462,0.5046602494499519,-0.4600380176917397,3,0.3333333333333333,0.5039375374935932,8,JPM
ungated,1.2889932557085757,0.5370268900433395,-0.390796461164059,3,0.6666666666666666,0.48123245993308084,0,MSFT
gated,1.0963286975107152,0.4933530133282494,-0.4296527125193005,3,0.6666666666666666,0.4476069077312131,24,MSFT
ungated,0.14723179027572408,0.1786007322360761,-0.37373137748575913,4,0.5,0.05164750928739181,0,PFE
gated,0.17762670020322568,0.19746577947786706,-0.373731377485759,4,0.5,0.05927244701096926,11,PFE
ungated,7.489948935465726,0.740147012932595,-0.6062786134728582,4,0.5,2.136889154106338,0,TSLA
gated,6.0728784108273155,0.6993530559281278,-0.6062786134728582,4,0.5,1.73696378480101,16,TSLA
ungated,1.982604338008553,0.7259468631636171,-0.2787153484113407,2,1.0,0.7998414074060973,0,WMT
gated,1.9865065678445828,0.7270724335548684,-0.27777167028017347,2,1.0,0.8013503172681073,4,WMT
ungated,1.3496672409347186,0.5858659128155767,-0.24283830007325602,4,0.5,0.3005298482126014,0,XOM
gated,1.3402092445390474,0.5841873268511508,-0.2458860646690637,4,0.5,0.2996412024267159,9,XOM
