fold,selection_period,holdout_period,chosen_strategy,chosen_rebalance_every,chosen_top_n,selection_sharpe,holdout_return_pct,holdout_sharpe,holdout_max_dd_pct,bh_holdout_return_pct,bh_holdout_sharpe,bh_holdout_max_dd_pct,beat_bh_sharpe,beat_bh_return
1,2020-01-01 -> 2021-12-31,2022-01-01 -> 2022-12-31,mom60,20,5,1.7766098968865984,-10.658871628287814,-0.37391100653929243,-22.266570520864594,-8.960149912349314,-0.3010878213040025,-18.369200253138285,False,False
2,2020-01-01 -> 2022-12-31,2023-01-01 -> 2023-12-31,mom120_trend,5,5,1.3346242288474233,27.812963245694288,1.4178016895387862,-12.463696988798434,27.117639299996643,1.6049661544511629,-11.419012198403966,False,True
3,2020-01-01 -> 2023-12-31,2024-01-01 -> 2024-12-31,mom120,5,5,1.3398868468096148,46.684711448674854,2.2175621786881843,-11.82139739793695,29.523044096818985,2.0966369244923753,-9.22144436020046,True,True
4,2020-01-01 -> 2024-12-31,2025-01-01 -> 2025-12-31,mom120,5,5,1.43995274698205,5.860546173158632,0.34618526310706055,-33.18646643526607,22.8658534822771,1.2412670437240196,-19.97597140526355,False,False
