return_pct,cagr_pct,sharpe,sortino,max_dd_pct,turnover,positive_days_pct,trades,rebalances,days,strategy,rebalance_every,top_n,window_start,window_end,sample
14.056679040567467,30.589261366387554,0.8357703470536485,1.0595777284771961,-28.045318823259514,55.29492715798485,52.84552845528455,373,116,180,mom20,1,3,2020-01-01,2020-06-28,walk_forward_window
29.724255592959015,69.56601964253537,1.531480529577457,2.024528592299663,-28.816417374010683,52.867870291097475,54.761904761904766,422,122,180,mom20,1,3,2020-06-29,2020-12-25,walk_forward_window
9.032268183296743,19.18056748918957,0.9633084800830736,1.483866364554064,-9.775177094834165,46.80708038495536,50.81967213114754,435,123,180,mom20,1,3,2020-12-26,2021-06-23,walk_forward_window
23.163156151991338,52.61620238951548,2.26557842702966,3.373481047774847,-8.768003585911865,33.805078203024806,54.03225806451613,418,125,180,mom20,1,3,2021-06-24,2021-12-20,walk_forward_window
-14.8315698708948,-27.802236454761363,-1.024073306899297,-1.2499324089056782,-20.115334277657727,45.445264924666844,52.41935483870967,397,120,180,mom20,1,3,2021-12-21,2022-06-18,walk_forward_window
7.7740733592195355,16.406418828539525,0.7001670939998386,1.1503229654423235,-20.411513047840323,64.53333416809005,52.41935483870967,393,120,180,mom20,1,3,2022-06-19,2022-12-15,walk_forward_window
21.440306621072438,48.315415737304775,1.567344617326395,2.760704476743386,-10.30133950522888,47.11608614071331,50.413223140495866,389,116,180,mom20,1,3,2022-12-16,2023-06-13,walk_forward_window
-6.820464157774109,-13.35444896865261,-0.6661844911068572,-0.9566703119225981,-22.21090200067971,54.69439045645093,51.61290322580645,434,125,180,mom20,1,3,2023-06-14,2023-12-10,walk_forward_window
6.002911610078399,12.557392653720289,0.763598599097775,1.0707916311031684,-6.545182031585261,50.06123396625952,51.21951219512195,441,124,180,mom20,1,3,2023-12-11,2024-06-07,walk_forward_window
8.881438805969166,18.846261003007992,0.853862109632798,1.1882671138730632,-17.01030960350979,61.522174784025594,51.21951219512195,456,124,180,mom20,1,3,2024-06-08,2024-12-04,walk_forward_window
